Values for stem plot of x_1(n):
0 7.00
1 10.00
2 13.00
3 16.00
4 19.00
5 22.00
6 25.00
7 28.00
8 31.00
9 34.00
10 37.00
11 40.00
12 43.00
13 46.00
14 49.00
15 52.00
16 55.00
17 58.00
18 61.00
19 64.00
20 67.00
21 70.00
22 73.00
23 76.00
24 79.00
25 82.00
26 85.00
27 88.00
28 91.00
29 94.00
30 97.00
31 100.00
32 103.00

Values for stem plot of x_2(n):
0 -18.00
1 -16.00
2 -14.00
3 -12.00
4 -10.00
5 -8.00
6 -6.00
7 -4.00
8 -2.00
9 0.00
10 2.00
11 4.00
12 6.00
13 8.00
14 10.00
15 12.00
16 14.00
17 16.00
18 18.00
19 20.00
20 22.00
21 24.00
22 26.00
23 28.00
24 30.00
25 32.00
26 34.00
27 36.00
28 38.00
29 40.00
30 42.00
31 44.00
32 46.00

Values for stem plot of x_3(n):
0 15.00
1 12.00
2 9.00
3 6.00
4 3.00
5 0.00
6 -3.00
7 -6.00
8 -9.00
9 -12.00
10 -15.00
11 -18.00
12 -21.00
13 -24.00
14 -27.00
15 -30.00
16 -33.00
17 -36.00
18 -39.00
19 -42.00
20 -45.00
21 -48.00
22 -51.00
23 -54.00
24 -57.00
25 -60.00
26 -63.00
27 -66.00
28 -69.00
29 -72.00
30 -75.00
31 -78.00
32 -81.00

Values for stem plot of x_4(n):
0 18.90
1 21.40
2 23.90
3 26.40
4 28.90
5 31.40
6 33.90
7 36.40
8 38.90
9 41.40
10 43.90
11 46.40
12 48.90
13 51.40
14 53.90
15 56.40
16 58.90
17 61.40
18 63.90
19 66.40
20 68.90
21 71.40
22 73.90
23 76.40
24 78.90
25 81.40
26 83.90
27 86.40
28 88.90
29 91.40
30 93.90
31 96.40
32 98.90

Values for stem plot of x_5(n):
0 18.90
1 21.40
2 23.90
3 26.40
4 28.90
5 31.40
6 33.90
7 36.40
8 38.90
9 41.40
10 43.90
11 46.40
12 48.90
13 51.40
14 53.90
15 56.40
16 58.90
17 61.40
18 63.90
19 66.40
20 68.90
21 71.40
22 73.90
23 76.40
24 78.90
25 81.40
26 83.90
27 86.40
28 88.90
29 91.40
30 93.90
31 96.40
32 98.90
